Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
MÁLAGA,SEVILLA FC,0-0,0-0,3.4,6.6,5.5,57,43,13.0,5.0,25.0,7.0,7.0,19.0,80.0,7.0,15.0,19.0,3.0,0.0,0.0,7.0,2.0,10.0,1.0,2.0,27.0,73.0,16.0,18.0,11.0,4.0,1.0,0.0
ESPANYOL,GETAFE,1-0,1-0,3.1,6.8,5.8,33,67,2.0,2.0,5.0,1.0,4.0,22.0,66.0,20.0,34.0,19.0,2.0,0.0,0.0,7.0,3.0,13.0,3.0,6.0,20.0,84.0,9.0,15.0,14.0,4.0,1.0,0.0
DEPORTIVO,REAL SOCIEDAD,0-0,0-0,2.9,6.7,5.9,57,43,6.0,5.0,16.0,5.0,5.0,24.0,80.0,14.0,31.0,16.0,3.0,0.0,0.0,1.0,2.0,9.0,6.0,4.0,31.0,71.0,19.0,31.0,10.0,2.0,0.0,0.0
ATLETICO MADRID,LAS PALMAS,1-0,1-0,3.4,6.7,6.0,62,38,8.0,3.0,14.0,3.0,4.0,24.0,84.0,12.0,8.0,11.0,2.0,0.0,0.0,4.0,1.0,8.0,3.0,4.0,21.0,74.0,26.0,36.0,16.0,0.0,0.0,0.0
RAYO VALLECANO,VALENCIA,0-0,0-0,2.4,6.5,6.2,57,43,2.0,3.0,8.0,3.0,3.0,23.0,76.0,19.0,27.0,19.0,3.0,0.0,0.0,4.0,4.0,10.0,2.0,3.0,36.0,69.0,22.0,22.0,11.0,1.0,0.0,0.0
ATHLETIC,BARCELONA,0-1,0-0,3.5,5.5,6.4,33,67,3.0,2.0,8.0,3.0,2.0,17.0,61.0,18.0,21.0,16.0,3.0,0.0,0.0,3.0,4.0,10.0,3.0,4.0,32.0,81.0,15.0,34.0,11.0,3.0,0.0,0.0
GIJÓN,REAL MADRID,0-0,0-0,3.3,6.0,7.3,33,67,4.0,0.0,6.0,2.0,2.0,16.0,67.0,9.0,34.0,20.0,4.0,0.0,0.0,14.0,8.0,27.0,5.0,5.0,17.0,87.0,17.0,24.0,4.0,0.0,0.0,0.0
LEVANTE,CELTA,1-2,0-1,6.0,5.3,7.0,29,71,7.0,2.0,11.0,2.0,4.0,21.0,68.0,12.0,28.0,12.0,1.0,0.0,1.0,6.0,6.0,15.0,3.0,6.0,14.0,87.0,19.0,40.0,17.0,3.0,0.0,0.0
REAL BETIS,VILLARREAL,1-1,0-1,5.4,6.5,5.8,66,34,13.0,6.0,22.0,3.0,7.0,26.0,78.0,14.0,15.0,11.0,3.0,0.0,0.0,4.0,4.0,8.0,0.0,5.0,24.0,62.0,22.0,38.0,26.0,1.0,0.0,1.0
GRANADA,EIBAR,1-3,0-2,6.0,5.6,7.2,57,43,5.0,6.0,12.0,1.0,6.0,36.0,77.0,15.0,19.0,5.0,1.0,0.0,1.0,4.0,4.0,10.0,2.0,5.0,35.0,71.0,21.0,27.0,23.0,6.0,0.0,0.0
VILLARREAL,ESPANYOL,3-1,0-1,6.5,7.1,5.3,57,43,8.0,4.0,14.0,2.0,2.0,22.0,79.0,15.0,11.0,10.0,1.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,21.0,73.0,21.0,29.0,20.0,6.0,0.0,0.0
REAL SOCIEDAD,GIJÓN,0-0,0-0,2.3,5.9,7.0,60,40,9.0,1.0,12.0,2.0,6.0,22.0,82.0,12.0,20.0,10.0,4.0,0.0,0.0,3.0,2.0,7.0,2.0,4.0,15.0,71.0,20.0,36.0,15.0,5.0,0.0,0.0
BARCELONA,MÁLAGA,1-0,0-0,4.3,7.8,4.9,75,25,6.0,13.0,22.0,3.0,15.0,20.0,87.0,14.0,15.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,18.0,61.0,3.0,22.0,21.0,3.0,0.0,0.0
CELTA,RAYO VALLECANO,3-0,1-0,5.1,8.2,4.5,65,35,1.0,7.0,11.0,3.0,5.0,21.0,86.0,12.0,11.0,7.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,23.0,69.0,16.0,14.0,11.0,2.0,0.0,1.0
