Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
MÁLAGA,OSASUNA,1-1,0-0,4.3,7.1,6.3,55,45,6.0,4.0,13.0,3.0,5.0,35.0,71.0,24.0,11.0,11.0,2.0,0.0,0.0,2.0,3.0,8.0,3.0,3.0,29.0,67.0,21.0,23.0,23.0,3.0,0.0,0.0
DEPORTIVO,EIBAR,2-1,0-0,6.4,7.2,5.2,50,50,5.0,6.0,11.0,0.0,1.0,33.0,76.0,14.0,26.0,14.0,3.0,0.0,0.0,3.0,6.0,13.0,4.0,8.0,16.0,74.0,8.0,17.0,18.0,3.0,0.0,0.0
BARCELONA,REAL BETIS,6-2,3-1,8.7,8.8,4.0,73,27,6.0,12.0,30.0,12.0,10.0,16.0,89.0,8.0,8.0,17.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,2.0,11.0,71.0,9.0,28.0,13.0,3.0,0.0,0.0
GRANADA,VILLARREAL,1-1,0-0,4.2,6.3,6.6,68,32,6.0,1.0,7.0,0.0,7.0,26.0,84.0,11.0,12.0,17.0,2.0,0.0,0.0,5.0,3.0,12.0,4.0,3.0,33.0,65.0,8.0,23.0,11.0,3.0,0.0,0.0
SEVILLA FC,ESPANYOL,6-4,3-3,9.8,7.4,5.7,74,26,2.0,11.0,16.0,3.0,8.0,26.0,84.0,17.0,11.0,8.0,2.0,0.0,0.0,1.0,7.0,10.0,2.0,2.0,22.0,68.0,5.0,26.0,15.0,2.0,0.0,0.0
GIJÓN,ATHLETIC,2-1,0-0,6.4,6.7,4.9,38,62,7.0,4.0,12.0,1.0,2.0,18.0,57.0,14.0,36.0,18.0,3.0,0.0,0.0,7.0,4.0,13.0,2.0,5.0,32.0,72.0,26.0,9.0,15.0,3.0,0.0,0.0
REAL SOCIEDAD,REAL MADRID,0-3,0-2,5.8,4.8,8.3,45,55,4.0,0.0,8.0,4.0,4.0,28.0,78.0,10.0,18.0,22.0,2.0,0.0,0.0,7.0,8.0,18.0,3.0,7.0,28.0,82.0,11.0,12.0,11.0,3.0,0.0,0.0
ATLETICO MADRID,ALAVÉS,1-1,0-0,6.3,7.2,5.7,62,38,13.0,6.0,27.0,8.0,20.0,24.0,84.0,24.0,9.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,11.0,66.0,21.0,34.0,15.0,4.0,0.0,0.0
CELTA,LEGANÉS,0-1,0-0,4.1,6.1,7.3,64,36,4.0,2.0,10.0,4.0,8.0,23.0,82.0,14.0,7.0,5.0,4.0,0.0,0.0,5.0,6.0,15.0,4.0,4.0,20.0,70.0,22.0,26.0,13.0,1.0,0.0,1.0
VALENCIA,LAS PALMAS,2-4,2-3,8.9,5.5,7.9,58,42,7.0,8.0,17.0,2.0,12.0,17.0,87.0,10.0,2.0,15.0,2.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,13.0,80.0,9.0,36.0,18.0,2.0,0.0,0.0
