Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
LEGANÉS,ALAVÉS,1-0,1-0,3.7,6.1,5.8,53,47,6.0,3.0,14.0,5.0,4.0,30.0,68.0,32.0,18.0,17.0,0.0,0.0,0.0,3.0,5.0,9.0,1.0,2.0,25.0,68.0,16.0,17.0,17.0,1.0,0.0,0.0
VALENCIA,LAS PALMAS,1-0,1-0,4.2,6.4,5.7,47,53,10.0,6.0,22.0,6.0,5.0,12.0,82.0,8.0,15.0,25.0,3.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,15.0,84.0,8.0,9.0,13.0,3.0,0.0,1.0
CELTA,REAL SOCIEDAD,2-3,1-1,8.7,5.2,7.1,53,47,4.0,5.0,16.0,7.0,5.0,24.0,82.0,11.0,12.0,12.0,3.0,0.0,0.0,6.0,6.0,13.0,1.0,4.0,16.0,80.0,13.0,19.0,11.0,1.0,0.0,0.0
GIRONA,ATLETICO MADRID,2-2,2-0,7.9,6.8,5.2,53,47,7.0,6.0,13.0,0.0,6.0,14.0,84.0,19.0,34.0,15.0,2.0,0.0,0.0,4.0,3.0,9.0,2.0,0.0,19.0,78.0,23.0,26.0,15.0,4.0,0.0,1.0
SEVILLA FC,ESPANYOL,1-1,1-1,4.8,5.8,6.5,62,38,4.0,4.0,9.0,1.0,7.0,23.0,83.0,19.0,21.0,14.0,2.0,0.0,1.0,2.0,6.0,9.0,1.0,3.0,19.0,72.0,12.0,25.0,12.0,4.0,0.0,0.0
ATHLETIC,GETAFE,0-0,0-0,2.4,6.3,6.3,64,36,8.0,2.0,13.0,3.0,7.0,19.0,80.0,28.0,18.0,16.0,1.0,0.0,0.0,4.0,2.0,8.0,2.0,6.0,12.0,62.0,13.0,26.0,15.0,4.0,1.0,0.0
BARCELONA,REAL BETIS,2-0,2-0,4.3,6.9,5.8,61,39,8.0,2.0,15.0,5.0,8.0,17.0,89.0,3.0,2.0,16.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,15.0,84.0,5.0,23.0,15.0,1.0,0.0,0.0
DEPORTIVO,REAL MADRID,0-3,0-2,6.4,5.1,7.3,32,68,5.0,6.0,12.0,1.0,4.0,16.0,78.0,10.0,21.0,16.0,5.0,0.0,0.0,4.0,8.0,16.0,4.0,4.0,19.0,89.0,9.0,10.0,12.0,2.0,1.0,0.0
LEVANTE,VILLARREAL,1-0,0-0,3.6,7.0,5.5,42,58,7.0,3.0,14.0,4.0,11.0,22.0,78.0,15.0,13.0,18.0,1.0,0.0,0.0,2.0,1.0,8.0,5.0,6.0,17.0,82.0,18.0,29.0,14.0,3.0,0.0,0.0
MÁLAGA,EIBAR,0-1,0-0,3.5,6.0,6.5,55,45,3.0,4.0,10.0,3.0,3.0,26.0,77.0,15.0,34.0,16.0,2.0,0.0,0.0,4.0,6.0,13.0,3.0,7.0,28.0,72.0,25.0,20.0,15.0,3.0,0.0,0.0
