Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
ATHLETIC,BARCELONA,1-0,0-0,4.7,7.0,5.7,28,72,6.0,5.0,11.0,0.0,3.0,16.0,71.0,16.0,16.0,14.0,1.0,0.0,0.0,6.0,2.0,11.0,3.0,8.0,17.0,86.0,13.0,11.0,9.0,1.0,0.0,0.0
CELTA,REAL MADRID,1-3,0-1,7.5,4.9,7.3,56,44,2.0,4.0,7.0,1.0,6.0,16.0,89.0,5.0,5.0,17.0,5.0,0.0,0.0,3.0,11.0,17.0,3.0,4.0,19.0,84.0,12.0,15.0,12.0,2.0,0.0,1.0
VALENCIA,REAL SOCIEDAD,1-1,0-0,5.6,5.6,6.0,37,63,4.0,6.0,14.0,4.0,3.0,13.0,82.0,11.0,21.0,13.0,3.0,1.0,0.0,5.0,3.0,12.0,4.0,3.0,22.0,88.0,16.0,11.0,14.0,4.0,0.0,0.0
MALLORCA,EIBAR,2-1,1-0,5.8,6.2,5.4,36,64,10.0,3.0,15.0,2.0,9.0,25.0,71.0,31.0,31.0,13.0,2.0,0.0,0.0,6.0,5.0,11.0,0.0,3.0,24.0,79.0,32.0,16.0,14.0,3.0,0.0,0.0
LEGANÉS,OSASUNA,0-1,0-0,3.3,5.6,6.3,51,49,6.0,2.0,13.0,5.0,8.0,37.0,69.0,20.0,10.0,17.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,23.0,69.0,30.0,24.0,11.0,4.0,0.0,0.0
VILLARREAL,GRANADA,4-4,1-1,9.4,6.2,6.2,54,46,3.0,7.0,12.0,2.0,2.0,18.0,82.0,18.0,17.0,10.0,3.0,0.0,0.0,4.0,7.0,14.0,3.0,7.0,12.0,82.0,13.0,4.0,16.0,1.0,0.0,0.0
ALAVÉS,LEVANTE,1-0,0-0,3.6,6.5,6.0,37,63,6.0,2.0,9.0,1.0,2.0,24.0,69.0,23.0,35.0,18.0,2.0,0.0,0.0,7.0,4.0,16.0,5.0,9.0,24.0,82.0,17.0,11.0,15.0,1.0,0.0,0.0
ESPANYOL,SEVILLA FC,0-2,0-1,4.6,5.4,6.9,45,55,4.0,2.0,7.0,1.0,8.0,23.0,80.0,18.0,13.0,11.0,2.0,0.0,0.0,6.0,4.0,12.0,2.0,4.0,15.0,83.0,17.0,18.0,17.0,2.0,0.0,0.0
REAL BETIS,VALLADOLID,1-2,0-0,6.2,5.5,6.3,47,53,5.0,4.0,13.0,4.0,6.0,23.0,84.0,7.0,11.0,11.0,2.0,0.0,1.0,7.0,3.0,14.0,4.0,1.0,16.0,85.0,8.0,17.0,19.0,6.0,0.0,0.0
ATLETICO MADRID,GETAFE,1-0,1-0,3.9,6.0,4.9,57,43,0.0,5.0,5.0,0.0,3.0,21.0,82.0,22.0,14.0,19.0,2.0,1.0,0.0,4.0,0.0,6.0,2.0,4.0,20.0,76.0,21.0,6.0,22.0,4.0,0.0,1.0
GRANADA,SEVILLA FC,0-1,0-0,3.3,5.2,7.2,45,55,7.0,1.0,12.0,5.0,6.0,27.0,76.0,14.0,14.0,13.0,1.0,0.0,0.0,2.0,6.0,11.0,3.0,6.0,18.0,81.0,30.0,22.0,14.0,1.0,0.0,0.0
LEVANTE,VILLARREAL,2-1,0-1,6.1,6.1,5.4,49,51,8.0,4.0,16.0,4.0,7.0,23.0,78.0,10.0,9.0,5.0,1.0,0.0,0.0,13.0,6.0,23.0,4.0,3.0,20.0,82.0,6.0,16.0,9.0,2.0,0.0,0.0
