Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
LEGANÉS,EIBAR,2-2,0-2,6.0,6.0,6.0,54,46,5.0,3.0,9.0,1.0,4.0,35.0,64.0,36.0,18.0,16.0,2.0,0.0,0.0,2.0,2.0,5.0,1.0,5.0,35.0,60.0,31.0,32.0,14.0,3.0,0.0,0.0
VALENCIA,VILLARREAL,3-0,1-0,6.9,7.6,5.0,45,55,5.0,9.0,18.0,4.0,7.0,19.0,81.0,22.0,19.0,13.0,1.0,0.0,0.0,2.0,5.0,14.0,7.0,4.0,26.0,82.0,12.0,12.0,8.0,3.0,0.0,0.0
VALLADOLID,CELTA,2-1,0-1,6.0,6.6,5.0,44,56,11.0,7.0,19.0,1.0,7.0,18.0,70.0,22.0,21.0,15.0,2.0,0.0,0.0,6.0,3.0,9.0,0.0,5.0,19.0,76.0,23.0,15.0,19.0,4.0,1.0,0.0
GIRONA,BARCELONA,0-2,0-1,4.9,5.3,6.6,36,64,5.0,5.0,13.0,3.0,3.0,8.0,79.0,7.0,12.0,18.0,4.0,1.0,0.0,4.0,7.0,15.0,4.0,8.0,24.0,86.0,13.0,17.0,12.0,3.0,0.0,0.0
ATHLETIC,REAL BETIS,1-0,1-0,3.8,6.5,6.1,38,62,6.0,2.0,11.0,3.0,6.0,23.0,76.0,15.0,21.0,20.0,4.0,0.0,1.0,4.0,2.0,8.0,2.0,4.0,17.0,85.0,14.0,13.0,6.0,2.0,0.0,0.0
REAL SOCIEDAD,HUESCA,0-0,0-0,2.0,5.9,6.4,68,32,5.0,1.0,8.0,2.0,5.0,21.0,85.0,23.0,15.0,9.0,0.0,0.0,0.0,6.0,1.0,8.0,1.0,2.0,16.0,64.0,21.0,28.0,22.0,3.0,0.0,0.0
ESPANYOL,REAL MADRID,2-4,1-3,8.8,5.4,7.1,36,64,4.0,6.0,13.0,3.0,1.0,14.0,81.0,7.0,18.0,15.0,3.0,0.0,0.0,6.0,9.0,16.0,1.0,6.0,13.0,86.0,10.0,5.0,17.0,4.0,0.0,1.0
ALAVÉS,RAYO VALLECANO,0-1,0-0,3.8,4.9,7.3,52,48,10.0,1.0,16.0,5.0,7.0,24.0,75.0,26.0,13.0,14.0,2.0,0.0,0.0,6.0,3.0,14.0,5.0,4.0,19.0,75.0,15.0,40.0,19.0,5.0,0.0,0.0
HUESCA,VALLADOLID,4-0,1-0,5.6,8.2,4.1,43,57,2.0,7.0,11.0,2.0,7.0,23.0,71.0,34.0,32.0,17.0,6.0,0.0,0.0,4.0,4.0,9.0,1.0,7.0,23.0,78.0,15.0,30.0,11.0,2.0,0.0,0.0
LEVANTE,GETAFE,0-0,0-0,2.2,6.1,5.8,58,42,4.0,4.0,8.0,0.0,5.0,20.0,71.0,29.0,36.0,7.0,4.0,0.0,0.0,5.0,2.0,9.0,2.0,5.0,37.0,60.0,19.0,33.0,15.0,3.0,0.0,0.0
REAL SOCIEDAD,ATHLETIC,2-1,2-0,5.6,6.0,6.0,46,54,1.0,2.0,6.0,3.0,3.0,28.0,71.0,18.0,13.0,17.0,1.0,0.0,0.0,2.0,5.0,8.0,1.0,3.0,21.0,73.0,22.0,11.0,13.0,1.0,0.0,0.0
BARCELONA,VALENCIA,2-2,1-2,9.3,6.1,6.4,69,31,8.0,8.0,20.0,4.0,9.0,15.0,91.0,15.0,9.0,8.0,3.0,0.0,0.0,4.0,8.0,14.0,2.0,1.0,15.0,77.0,15.0,27.0,5.0,0.0,0.0,0.0
CELTA,SEVILLA FC,1-0,0-0,3.8,6.9,5.8,44,56,4.0,4.0,10.0,2.0,4.0,24.0,81.0,22.0,41.0,13.0,4.0,0.0,0.0,6.0,2.0,13.0,5.0,9.0,29.0,82.0,15.0,10.0,12.0,4.0,0.0,0.0
VILLARREAL,ESPANYOL,2-2,1-0,7.7,6.5,5.6,42,58,7.0,5.0,14.0,2.0,3.0,20.0,74.0,19.0,22.0,22.0,4.0,0.0,0.0,6.0,2.0,17.0,9.0,2.0,35.0,79.0,17.0,17.0,16.0,5.0,0.0,0.0
REAL BETIS,ATLETICO MADRID,1-0,0-0,3.5,7.3,5.5,55,45,2.0,3.0,7.0,2.0,1.0,10.0,88.0,10.0,38.0,7.0,4.0,0.0,0.0,9.0,1.0,13.0,3.0,7.0,25.0,82.0,18.0,7.0,21.0,3.0,0.0,0.0
EIBAR,GIRONA,3-0,1-0,4.8,6.9,4.7,56,44,7.0,5.0,17.0,5.0,8.0,25.0,68.0,40.0,29.0,12.0,2.0,0.0,0.0,3.0,2.0,6.0,1.0,5.0,29.0,61.0,36.0,40.0,9.0,1.0,0.0,0.0
REAL MADRID,ALAVÉS,3-0,1-0,5.9,8.2,4.6,71,29,8.0,8.0,22.0,6.0,7.0,22.0,90.0,10.0,9.0,10.0,0.0,0.0,0.0,5.0,1.0,7.0,1.0,2.0,22.0,72.0,16.0,27.0,12.0,3.0,0.0,0.0
RAYO VALLECANO,LEGANÉS,1-2,0-1,6.5,5.6,5.8,62,38,5.0,6.0,15.0,4.0,5.0,20.0,83.0,15.0,29.0,19.0,6.0,0.0,0.0,8.0,4.0,13.0,1.0,6.0,24.0,63.0,31.0,36.0,10.0,4.0,0.0,1.0
VALLADOLID,VILLARREAL,0-0,0-0,2.2,6.1,5.9,49,51,5.0,3.0,8.0,1.0,8.0,32.0,77.0,11.0,21.0,13.0,3.0,0.0,0.0,4.0,3.0,7.0,0.0,3.0,19.0,78.0,20.0,32.0,18.0,2.0,0.0,0.0
GETAFE,CELTA,3-1,1-1,6.1,6.9,4.9,49,51,4.0,6.0,12.0,2.0,4.0,24.0,70.0,24.0,7.0,16.0,3.0,0.0,0.0,6.0,3.0,13.0,4.0,3.0,23.0,74.0,23.0,28.0,13.0,2.0,1.0,0.0
ATLETICO MADRID,REAL MADRID,1-3,1-2,5.7,4.9,7.5,34,66,9.0,2.0,11.0,0.0,3.0,16.0,73.0,10.0,13.0,21.0,6.0,1.0,0.0,5.0,4.0,11.0,2.0,4.0,24.0,84.0,18.0,12.0,16.0,3.0,0.0,0.0
